"filePath","physicalDirectionCount","logicalPropertyCount","priority","action"
"blog-site/src/styles/global.css","11","0","Medium","Review and migrate only where semantic mirroring is correct"
"public/pro/assets/index-eYnecI2g.css","19","59","Medium","Review and migrate only where semantic mirroring is correct"
"src/styles/country-deep-dive.css","29","0","High","Review and migrate only where semantic mirroring is correct"
"src/styles/embed.css","3","0","Medium","Review and migrate only where semantic mirroring is correct"
"src/styles/happy-theme.css","7","0","Medium","Review and migrate only where semantic mirroring is correct"
"src/styles/header.css","2","0","Medium","Review and migrate only where semantic mirroring is correct"
"src/styles/main.css","395","3","High","Review and migrate only where semantic mirroring is correct"
"src/styles/panels.css","91","2","High","Review and migrate only where semantic mirroring is correct"
"src/styles/route-explorer.css","9","0","Medium","Review and migrate only where semantic mirroring is correct"
"src/styles/rtl-overrides.css","47","0","High","Review and migrate only where semantic mirroring is correct"
"src/styles/settings-window.css","18","0","Medium","Review and migrate only where semantic mirroring is correct"
"src/styles/supply-chain-panel.css","1","0","Medium","Review and migrate only where semantic mirroring is correct"
