"group","name","version"
"dependencies","@anthropic-ai/sdk","^0.91.1"
"dependencies","@aws-sdk/client-s3","^3.1009.0"
"dependencies","@clerk/clerk-js","^6.13.0"
"dependencies","@deck.gl/core","^9.2.11"
"dependencies","@deck.gl/layers","^9.2.11"
"dependencies","@deck.gl/mapbox","^9.2.11"
"dependencies","@dodopayments/convex","^0.2.8"
"dependencies","@fontsource/nunito","^5.2.7"
"dependencies","@fontsource/tajawal","^5.2.7"
"dependencies","@protomaps/basemaps","^5.7.1"
"dependencies","@sentry/browser","^10.39.0"
"dependencies","@upstash/ratelimit","^2.0.8"
"dependencies","@upstash/redis","^1.36.1"
"dependencies","@vercel/analytics","^2.0.0"
"dependencies","@vercel/functions","^3.7.5"
"dependencies","@vercel/og","^0.11.1"
"dependencies","@xenova/transformers","^2.17.2"
"dependencies","aws4fetch","^1.0.20"
"dependencies","canvas-confetti","^1.9.4"
"dependencies","convex","^1.32.0"
"dependencies","d3","^7.9.0"
"dependencies","deck.gl","^9.2.11"
"dependencies","dodopayments-checkout","^1.8.0"
"dependencies","dompurify","^3.4.11"
"dependencies","fast-xml-parser","^5.8.0"
"dependencies","globe.gl","^2.45.0"
"dependencies","h3-js","^4.4.0"
"dependencies","hls.js","^1.6.15"
"dependencies","i18next","^25.8.10"
"dependencies","i18next-browser-languagedetector","^8.2.1"
"dependencies","jmespath","^0.16.0"
"dependencies","jose","^6.2.2"
"dependencies","mailchecker","^6.0.21"
"dependencies","maplibre-gl","^5.16.0"
"dependencies","marked","^17.0.3"
"dependencies","onnxruntime-web","^1.26.0"
"dependencies","papaparse","^5.5.3"
"dependencies","pmtiles","^4.4.0"
"dependencies","preact","^10.25.4"
"dependencies","satellite.js","^6.0.2"
"dependencies","supercluster","^8.0.1"
"dependencies","telegram","^2.26.22"
"dependencies","topojson-client","^3.1.0"
"dependencies","uqr","^0.1.2"
"dependencies","web-vitals","^5.3.0"
"dependencies","ws","^8.21.0"
"dependencies","yaml","^2.8.3"
"dependencies","youtubei.js","^16.0.1"
"dependencies","zod","^4.3.6"
"devDependencies","@biomejs/biome","^2.4.7"
"devDependencies","@bufbuild/buf","^1.66.0"
"devDependencies","@edge-runtime/vm","^5.0.0"
"devDependencies","@playwright/test","^1.52.0"
"devDependencies","@tauri-apps/cli","^2.10.0"
"devDependencies","@types/canvas-confetti","^1.9.0"
"devDependencies","@types/d3","^7.4.3"
"devDependencies","@types/dompurify","^3.0.5"
"devDependencies","@types/geojson","^7946.0.14"
"devDependencies","@types/jmespath","^0.15.2"
"devDependencies","@types/maplibre-gl","^1.13.2"
"devDependencies","@types/marked","^5.0.2"
"devDependencies","@types/papaparse","^5.5.2"
"devDependencies","@types/supercluster","^7.1.3"
"devDependencies","@types/three","^0.183.1"
"devDependencies","@types/topojson-client","^3.1.5"
"devDependencies","@types/topojson-specification","^1.0.5"
"devDependencies","convex-test","^0.0.43"
"devDependencies","cross-env","^10.1.0"
"devDependencies","esbuild","0.28.1"
"devDependencies","exceljs","^4.4.0"
"devDependencies","happy-dom","^20.11.1"
"devDependencies","markdownlint-cli2","^0.21.0"
"devDependencies","tsx","^4.21.0"
"devDependencies","typescript","^5.7.2"
"devDependencies","vite","^6.0.7"
"devDependencies","vite-plugin-pwa","^1.2.0"
"devDependencies","vitest","^4.1.0"
